imdb_title_id,ordering,imdb_name_id,category,job,characters
tt0000009,1,nm0063086,actress,,"[""Miss Geraldine Holbrook (Miss Jerry)""]"
tt0000009,2,nm0183823,actor,,"[""Mr. Hamilton""]"
tt0000009,3,nm1309758,actor,,"[""Chauncey Depew - the Director of the New York Central Railroad""]"
tt0000009,4,nm0085156,director,,
tt0000574,1,nm0846887,actress,,"[""Kate Kelly""]"
tt0000574,2,nm0846894,actor,,"[""School Master""]"
tt0000574,3,nm3002376,actor,,"[""Steve Hart""]"
tt0000574,4,nm0170118,actress,,
tt0000574,5,nm0846879,director,,
tt0000574,6,nm0317210,producer,producer,
tt0000574,7,nm0425854,producer,producer,
tt0000574,8,nm0846911,producer,producer,
tt0000574,9,nm2421834,composer,,
tt0000574,10,nm0675239,cinematographer,,
tt0001892,1,nm0003425,actress,,"[""Stella""]"
tt0001892,2,nm0699637,actor,,"[""Grev Johan Waldberg""]"
tt0001892,3,nm0375839,actor,,"[""Hofjuveler A. Hirsch""]"
tt0001892,4,nm0016799,actor,,
tt0001892,5,nm0300487,director,,
tt0001892,6,nm2131092,writer,screenplay,
tt0001892,7,nm0423762,cinematographer,,
tt0001892,8,nm0005869,cinematographer,,
tt0001892,9,nm0282348,actor,,
tt0001892,10,nm2325688,actress,,
tt0002101,1,nm0306947,actress,,"[""Cleopatra - Queen of Egypt""]"
tt0002101,2,nm0801774,actress,,"[""Iras - An Attendant""]"
tt0002101,3,nm0276160,actress,,"[""Charmian - An Attendant""]"
tt0002101,4,nm0733482,actress,,"[""Octavia - Wife of Antony""]"
tt0002101,5,nm0309130,director,,
tt0002101,6,nm0765026,writer,adapted from the play by,
tt0002101,7,nm0182557,actress,,"[""Nicola - a Child""]"
tt0002101,8,nm1950505,actor,,"[""Antony - a Triumvir and General""]"
tt0002101,9,nm0397513,actor,,"[""Pharon - a Greek Slave and Fisherman""]"
tt0002101,10,nm0906610,actor,,"[""Venditius - a Roman Soldier""]"
tt0002130,1,nm0660139,actor,,"[""Dante Alighieri""]"
tt0002130,2,nm0685283,actor,,"[""Virgilio""]"
tt0002130,3,nm0209738,actor,,"[""Farinata degli Uberti"",""Pier delle Vigne"",""Il conte Ugolino""]"
tt0002130,4,nm3942815,actor,,"[""Il conte Ugolino""]"
tt0002130,5,nm0078205,director,,
tt0002130,6,nm0655824,director,,
tt0002130,7,nm0019604,writer,"poem ""La Divina Commedia""",
tt0002130,8,nm1374692,composer,,
tt0002130,9,nm1376296,cinematographer,,
tt0002130,10,nm1376180,production_designer,,
